del do
iraquí iraquiano
conviene convém
bélico bélico
militancia militância
escénicas cênicas
amer amer
respectivo respectivo
revancha desforra
cape cape
sepultura sepultura
opone opõe
tardó demorou
esconde esconde
cesó cessou
encerrado trancado
acercó aproximou
dígitos algarismos
dígitos dígitos
energético energético
impact impact
sans sans
brandeburgo brandeburgo
criolla crioula
restrepo restrepo
pagó pagou
climáticas climáticas
extremas extremas
islote ilhéu
interpretadas interpretadas
licenciada licenciada
saturn saturn
garcés garcês
extraterrestre extraterrestre
léon léon
impulsor impulsionador
hebrea hebraica
abarcan abrangem
diecinueve dezanove
tennis tennis
encontré achei
encontré encontrei
relacionan relacionam
endémico endémico
vinculadas coligadas
mayoritario maioritário
vasta vasta
obligaron forçaram
evolucionado evoluiu
casaron casaram
apartamentos apartamento
bíblico bíblico
aura aura
bancaria bancária
saliente cessante
cage cage
berger berger
estuvieran estivessem
contemporary contemporary
comes comes
private private
lion lion
tranvías eléctricos
cabeceras cabeçalhos
corporativa corporativa
caminando andando
flamenca flamenga
apeadero apeadeiro
llegados chegados
preparan preparam
celdas celas
voló voou
production production
vision vision
empatado empatado
chocó bateu
jugaría jogaria
pulso pulsação
renovó renovou
comprenden compreendem
prolongada prolongada
valiosa valiosa
conectan conectam
conectan ligam
edmundo edmundo
comprometió comprometeu
restablecer repor
frédéric frédéric
condecorado condecorado
regatas regatas
ideológica ideológica
anastasio anastasius
ficus ficus
ortodoxo ortodoxo
aduana estância
centroamericana centroamericana
reactores reatores
guadarrama maringa
declarando declarando
inocencio inocêncio
implicación implicação
encabezados cabeçalhos
enteras inteiras
fantástica fantástica
marcaron marcaram
numero numero
tello tello
expandió expandiu
aceptaron aceitaram
estrenadas estreadas
firmando assinando
recomendó recomendou
sanitarios sanitários
sobresale sobressai
vara vara
ocurrida ocorrida
productoras produtoras
sinfónico sinfônico
exhibiciones exibições
postales postais
description description
profundidades profundidades
ósea óssea
carlomagno charlemagne
parezca pareça
mataron mataram
mystery mystery
victoriano vitoriano
agropecuaria agropecuária
actuaron agiram
constituyendo constituindo
zoologicus zoologicus
rodado rodado
neptuno netuno
basales basais
escoceses escoceses
homme homme
pesadas pesadas
derrocar derrubar
destitución destituição
ecorregión ecorregião
informacion informaçoes
solas sozinhas
matanzas matanças
casadas casadas
vinieron vieram
esperan esperam
supermercados alimentares
vértices vértices
apelaciones apelos
filmó filmou
contaron contaram
pain pain
intermedios intermédios
atómico atómico
prefirió preferiu
excesivamente excessivamente
sagra sagra
cuauhtémoc cuauhtémoc
hinchas torcedores
estimó estimou
deberíamos deveríamos
deberíamos devemos
tocaron tocaram
radicalmente radicalmente
viajaron viajaram
apuntan apontam
heroica heróica
bíblicos bíblicos
agrario agrícola
casualidad casualidade
britain britain
marismas pântanos
croix croix
masivas maciças
dental dental
emergencias emergências
aviation aviation
filosóficas filosóficas
ambientación ambientação
conducto conduta
conozco conheço
iría iria
sanabria sanabria
destruyeron destruíram
derribado derrubado
rome rome
ensemble ensemble
manantiales nascentes
alargado alongado
aleja afasta
legendaria lendária
necesitaban precisavam
montada montada
mirage mirage
numérica numérica
military military
hour hour
botanique botanique
cuadradas quadradas
promulgó promulgou
édouard édouard
christ christ
cordilleras cordilheiras
politécnico politécnico
secesión secessão
table table
tomaba pegava
melgar melgar
voyage voyage
himalaya himalaia
fechada datada
adquirieron adquiriram
yudocas judocas
indianápolis indianápolis
piña abacaxi
encuentren encontrem
mortadelo mortadelo
anular anular
noir noir
prairie prairie
alargada alongada
interpretan interpretam
exhiben exibem
frenar travar
puse coloquei
colocaron colocaram
herradura ferradura
deduce deduz
champion champion
ocurrieron ocorreram
ajeno alheio
asesinó assassinou
guayas ceara
forzó forçou
registran registam
emigraron emigraram
helechos fetos
trágica trágica
vagones carruagens
hundió afundou
despertó acordou
democráticas democráticas
africanas africanas
suceden acontecem
comedy comedy
motocicleta motocicleta
trípoli tripoli
veterinaria veterinária
pays pays
dominó dominou
pedía pedia
ampliando expandindo
desplaza desloca
ves vês
cala cala
bautizada batizada
queja queixa
cerámicas cerâmicas
masonería maçonaria
tirar atirar
recogió pegou
tdt tdt
aumentaron aumentaram
suspendió suspendeu
interestatal interestadual
olimpiadas olimpíadas
asesoría assessoria
asesoría consultoria
evolucionó evoluiu
wcw wcw
atalaya atalaia
sucediendo acontecendo
sienta senta
sicilias sicílias
mio mio
mandar mandar
hoguera fogueira
anuario anuário
adoptando adoptando
corporaciones corporações
palais palais
alejada afastada
triásico triássico
lerma lerma
mayoritaria maioritária
reclamó reclamou
numeroso numeroso
trento trento
cronológico cronológica
engineering engineering
portrait portrait
seleccionador seleccionador
dueñas donas
ecuestre equestre
marinero marinheiro
diablos diabos
presumiblemente presumivelmente
sesgo viés
dedicaron dedicaram
apelación apelação
anciana idosa
enviando enviando
entrenó treinou
metastasio metastasio
segismundo segismundo
prolongó prolongou
gesta gesta
velo véu
quebradas quebradas
imperios impérios
siracusa siracusa
eine eine
escuchó ouviu
angustia angústia
canteras pedreiras
distinguió distinguiu
français français
originado originado
aparecían apareciam
nájera nájera
justifica justifica
chapelle chapelle
románticas românticas
prusiana prussiana
conrado conrado
inmenso imenso
iturbide iturbide
unitaria unitária
demostraron demonstraram
archives archives
actualizaciones atualizações
daneses dinamarqueses
turnos turnos
philosophy philosophy
amoroso amoroso
montañés montanhês
canónica canônica
regímenes regimes
december december
plantes plantes
periodístico jornalístico
concebida concebida
empatar empatar
termales termais
movida jogada
santamaría santamaría
abreviada abreviada
visitando visitando
cometió cometeu
pasiva passiva
elogió elogiou
hermandades irmandades
nac esan
geométrica geométrica
residen residem
violentas violentas
temático temático
parc parc
repetidamente repetidamente
prestigiosos prestigiados
roba rouba
languages languages
coautor coautor
visigodos visigodos
saints saints
gruesas grossas
constituyeron constituíram
subiendo subindo
nouvelle nouvelle
covers covers
propusieron propuseram
impulsada impulsionada
lie lie
fijas fixas
descansan descansam
quedará ficará
avanzaron avançaram
matices nuances
limitó limitou
súbditos súbditos
paterno paterno
percibe percebe
prácticos práticos
repentinamente repentinamente
nets nets
refirió referiu
derrocado derrubado
temps temps
favoreció favoreceu
templadas temperadas
sometió submeteu
numérico numérico
emitía emitia
pedagógica pedagógica
mortero morteiro
somme somme
sustantivo substantivo
contrafuertes contrafortes
pseudónimo pseudónimo
referenciar referenciar
pregunto pergunto
advirtió alertou
advirtió advertiu
portable portátil
álamo álamo
prefiero prefiro
lega lega
liberó libertou
liberó liberou
votaron votaram
congresista congressista
partieron partiram
rectas retas
fallecieron faleceram
casimiro casimiro
solicitaron solicitaram
solicitaron pediram
coincido concordo
urraca magpie
funerario funerário
alienígena extraterrestre
computacional computacional
evitó evitou
serge serge
forense forense
mercaderes mercadores
harv}} harv}}
autónomos autónomos
remota remota
valiosos valiosos
vienne vienne
colaboraron colaboraram
genial otimo
genial ótimo
circundante circundante
operó operou
desembarcó desembarcou
iberoamericano iberoamericano
cerrando fechando
póstuma póstuma
debiendo devendo
alvaro alvaro
pretendían pretendiam
brote surto
tributario tributário
becerra becerra
pastoreo pastoreio
denunciado denunciado
ejecutó executou
enfocado focado
solitaria solitária
tuve tive
sostenía segurava
referidos referidos
mathieu mathieu
mítica mítica
autodidacta autodidacta
levantaron levantaram
desnivel desnível
caciques caciques
hablamos falamos
hablamos conversamos
subsuelo subsolo
hilario hilario
programada agendada
mapuches mapuches
encargan encarregam
sucesora sucessora
entregaron entregaram
tangos tangos
extrae extrai
pseudo pseudo
cantábrica cantábrica
arquitectónicas arquitectónicas
bas bas
acondicionado condicionado
implicaba implicava
beaux beaux
américo américo
chat chat
macedonio macedónio
rechazaron rejeitaram
economics economics
barquisimeto cuiaba
ordenanzas ordenanças
sistemáticamente sistematicamente
crown crown
monta monta
vertebral vertebral
luminosa luminosa
alternas alternadas
debidamente devidamente
elíptica elíptica
incorrecta incorreta
incorrecta incorrecta
incorrecta errada
agency agency
drásticamente drasticamente
teclista tecladista
suelta solta
recogidas recolhidas
sintonía sintonia
capitular capitular
termino termino
asisten assistem
charlas palestras
linajes linhagens
septentrionales setentrionais
royale royale
pinzón tentilhão
dotes dotes
bonaerense bonaerense
comunales comunais
argumentó argumentou
enamoró apaixonou
graban gravam
contrata contrata
glorieta mirante
gusano verme
renaissance renaissance
asoció associou
excluyendo excluindo
medinaceli medinaceli
interactive interactive
granadas granadas
inti inti
sagradas sagradas
hicieran fizessem
adfp apurações
espectaculares espetaculares
golpeó bateu
comodín curinga
cementerios cemitérios
concretó concretizou
suprimir suprimir
curicó curicó
engine engine
miscelánea miscelânea
percibir perceber
ramales ramais
triunfó triunfou
discrepancias discrepâncias
sébastien sébastien
due due
affairs affairs
mordellidae mordellidae
advertencias advertências
lingüísticos linguísticos
rotos quebrados
portuguesas portuguesas
levantada levantada
rígido rígido
sancti sancti
subcontinente subcontinente
cecilio cecílio
complex complex
ssp ssp
comunican comunicam
humorístico humorístico
cortó cortou
próspero próspero
probó testou
gusanos vermes
cancionero cancioneiro
porteña portenha
bíblica bíblica
descansa descanse
planeó planejou
animó encorajou
desplazamientos deslocações
reflejada reflectida
gruta gruta
atravesada atravessada
quieran queiram
sauropsida sauropsida
sísmico sísmico
gonna gonna
relegado relegado
marañón marañón
sitiodeciclismo sitiodeciclismo
anchas largas
produzca produza
detenida detida
cantábrico cantábrico
orientadas orientadas
autódromo autódromo
desató desencadeou
marrones castanhos
robusta robusta
million million
pude consegui
adaptó adaptou
île île
patrimonial patrimonial
agradezco agradeço
narraciones narrativas
radiofónico radiofónico
oráculo oráculo
persecuciones perseguições
realice realize
participaban participavam
involucró envolveu
wikiproyectos wikiprojetos
preventiva preventiva
rage rage
curia cúria
cocción cozedura
mine mine
filosóficos filosóficos
jaca jaca
visigodo visigodo
bains bains
oriundo oriundo
communications communications
inei inei
cavaliers cavaliers
ocurría acontecia
transit transit
capturaron capturaram
anécdotas anedotas
sustituidos substituídos
experience experience
trois trois
annales annales
renacentistas renascentistas
emitieron emitiram
titulo titulo
llegará chegará
recaudó arrecadou
interpretaron interpretaram
fundido fundido
celestial celestial
novatos novatos
capitulación capitulação
cumpla cumpra
peñón rochedo
ideológico ideológico
movió moveu
movió mexeu
atribuyó atribuiu
intensas intensas
tandil tandil
extintas extintas
dopaje doping
buscaron procuraram
didáctica didáctica
derribar derrubar
artesanales artesanais
suegro sogro
quinientos quinhentos
commodore commodore
mercader mercador
confiar confiar
anaranjado alaranjado
pala pá
sugiero sugiro
combat combat
hubiesen tiverem
bellos belos
siècle siècle
contratados contratados
dotar dotar
invadieron invadiram
afirmado afirmado
bahías baías
provence provence
ami ami
óptima ótima
hayas tenhas
cobró cobrou
volador voador
jerárquico hierárquico
investigando pesquisando
mezclan misturam
crucis crucis
colectividad colectividade
nouveau nouveau
ancestro antepassado
condujeron conduziram
requena requena
marcharon marcharam
vincula vincula
impuesta imposta
ilustra ilustra
barrameda barrameda
ganadero pecuário
conservadas conservadas
jungle jungle
roi roi
canelones canelones
quitó tirou
ajena alheia
medal medal
torturas torturas
amenazó ameaçou
plácido plácido
mort mort
alejados afastados
numancia numancia
restauró restaurou
teófilo teófilo
opusieron opuseram
fracasado fracassado
globe globe
termine termine
subgrupo subgrupo
macías macías
commission commission
native native
atlánticos atlânticos
promoviendo promovendo
intervenido intervindo
stadion stadion
dynamo dynamo
sentenciado sentenciado
navegantes navegantes
qing qing
meléndez meléndez
democráticos democráticos
gozó gozou
masones maçons
referir referir
devolvió devolveu
tridimensional tridimensional
week week
sigüenza sigüenza
mete mete
terre terre
italy italy
guajira guajira
cotidiano cotidiano
lutero lutero
alambre arame
expulsó expulsou
impulsadas impulsionadas
informaron relataram
informaron informaram
inquietud inquietação
universitat universitat
lit lit
festivo feriado
gruesos grossos
permitiera permitisse
facilitó facilitou
femme femme
fundando fundando
tinto tinto
escipión cipião
cilíndrico cilíndrico
añadida adicionada
sang sang
mentes mentes
pesquero pesqueiro
abandonan abandonam
camisetas camisetas
detrimento detrimento
ayudantes ajudantes
dominica dominica
portería baliza
antonino antonino
sito sito
institution institution
barrancos barrancos
burgo burgo
geolocalización geolocalização
wizards wizards
doradas douradas
holmgren holmgren
bajando baixando
coach coach
compañeras companheiras
nevado nevado
caño cano
colonizadores colonizadores
intermedias intermédias
distintiva distintiva
terminaba acabava
format format
parade parade
ofrecían ofereciam
atardecer entardecer
ses ses
moi moi
académie académie
ecologista ecologista
pensé pensei
pensé achei
permanecía permanecia
llamaría chamaria
clandestina clandestina
sancionado sancionado
images images
prestan prestam
prosiguió prosseguiu
pinares pinhais
males males
organization organization
secano sequeiro
saturnino saturnino
confirmaron confirmaram
conformó contentou
salix salix
girando girando
disputadas disputadas
canton canton
tea tea
visitaron visitaram
operados operados
enfrentaba enfrentava
trajeron trouxeram
revertido revertido
nombraron nomearam
dragons dragons
semicircular semicircular
neoclásica neoclássica
órbitas órbitas
inscribió inscreveu
luminoso luminoso
maison maison
conectadas conectadas
avant avant
cúbicos cúbicos
february february
oam oam
notorio notório
representaron representaram
redactores redactores
meteorológica meteorológica
susceptibles suscetíveis
wikificar wikificar
contrae contrai
lunares bolinhas
ist ist
afirmaron afirmaram
presionar pressionar
elle elle
combatiendo combatendo
batlle batlle
sobra sobra
consistorial consistorial
subclase subclasse
dudo duvido
asentó assentou
congress congress
relief relief
sentados sentados
trescientos trezentos
tramas tramas
internamente internamente
truco truque
respiratoria respiratória
modificadas modificadas
sbb sbb
corrido corrido
investigado investigado
señorial senhorial
barajas baralhos
agudas agudas
engañar iludir
editadas editados
rocosos rochosos
hist hist
temáticos temáticos
horizon horizon
refugió refugiou
coreanos coreanos
recordada lembrada
coloquial coloquial
afiliada afiliada
góngora góngora
sacaron tiraram
sounds sounds
marques marques
lisos lisos
aludiendo aludindo
podrás poderás
recurre recorre
impusieron impuseram
planeaba planejava
antitanque antitanque
dividieron dividiram
bío bío
vistazo olhada
rumanos romenos
arenales uberlândia
náuticas náuticas
ermitas ermidas
geométricos geométricos
cichlidae cichlidae
videoclips videoclip
pavimento pavimento
flore flore
lápida lápide
convierta transforme
vuestra vossa
variando variando
fortune fortune
canceló cancelou
mozo garçom
mozo moço
robó roubou
cruzaron atravessaram
declinó declinou
riba riba
authority authority
antepasado antepassado
popularizó popularizou
barracas barracas
friso friso
cambiaría trocaria
vitalicio vitalício
uicn uicn
vehicular veicular
edinburgh edinburgh
celestino celestino
jbrj jbrj
joint joint
issue issue
sessions sessions
acompañaron acompanharam
estéticas estéticas
camina caminha
tadeo tadeu
llevara levasse
benoit benoit
conseguida alcançada
repito repito
vean assistam
fusionaron fundiram
pleurothallis pleurothallis
estratégicas estratégicas
narrativo narrativo
giros voltas
yugoslavo jugoslavo
surgida surgida
suit suit
procesar processar
asteráceas asteráceas
confía confia
alejó afastou
hallaron acharam
dinámicas dinâmicas
estan estao
estan estão
celestes celestes
vosotros vocês
descendiendo descendo
blanche blanche
cuernavaca ipatinga
framework framework
reconocieron reconheceram
sentada sentada
dracula dracula
implicó implicou
implicó envolveu
distintivos distintivos
poéticas poéticas
albergan albergam
puñado punhado
comunitarios comunitários
conseguiría conseguiria
conseguía conseguia
champ champ
notó notou
mediterráneos mediterrânicos
recortes recortes
fruit fruit
guatemalteca guatemalteca
limpias limpas
excesos excessos
afrique afrique
culiacán culiacán
ligadas coligadas
amplía amplia
glabras glabras
ético ético
concluyeron concluíram
bancarias bancárias
rivière rivière
corporativo corporativo
corporativo corporativa
llana nivelada
alphonse alphonse
plains plains
distribuidora distribuidora
joyería jóias
paises países
riachuelo riacho
devuelto devolvido
meloidae meloidae
galardonados galardoados
aeronáutico aeronáutico
tocada tocada
lac lac
jerusalem jerusalem
mecha rastilho
godofredo godofredo
alterado alterado
adornado enfeitado
acervo acervo
command command
lidiar lidar
presidio presídio
complementa complementa
despide despede
despide demite
musique musique
ruego imploro
anota anota
impidieron impediram
fabrican fabricam
aleatoria aleatória
chorro jacto
vuelvo volto
actualizados atualizados
atravesó atravessou
ovadas ovadas
comendadores comendadores
xalapa xalapa
malvada malvada
dirigían dirigiam
despidió despediu
manglares mangues
euroliga euroliga
editaron editaram
fusilamiento fuzilamento
habilitado habilitado
flaco magro
aprecio aprecio
guaraníes guaranis
marguerite marguerite
monsters monsters
emprende empreende
hindúes indianos
llamamiento apelo
penúltima penúltima
traducidas traduzidas
ajenas alheias
nuño nuño
seas sejas
especulaciones especulações
distinguida distinta
satellite satellite
asian asian
resultantes resultantes
chronicles chronicles
compraron compraram
albergue pousada
influye influencia
procesional processional
alcanzada alcançada
donada doada
cardinal cardinal
quisieron quiseram
araneomorfas araneomorfas
vivencias vivências
gigantesco gigantesco
subteniente subtenente
trial trial
encargaron encarregaram
manifiestan manifestam
condecorados condecorados
method method
póstumamente postumamente
náutica náutica
impulsa impulsiona
tuxtla tuxtla
eras eras
akal akal
admirador fã
encargadas encarregadas
lettres lettres
devotos devotos
trompa tromba
bajan descem
gambia gambia
recuperaron recuperaram
visigoda visigoda
intentaban tentavam
celebrity celebrity
expectativa expectativa
aprobaron aprovaram
acercan aproximam
comparó comparou
alar alar
acuñó cunhou
comte comte
confió confiou
reforzó reforçou
valencià valencià
losa laje
saldría sairia
densos densos
cartaginés cartaginês
periodísticos jornalísticos
patriótico patriótico
ordinarios ordinários
subyacente subjacente
planeamiento planeamento
innecesaria desnecessária
lancha lancha
repiten repetem
financial financial
regulada regulamentada
edificó edificou
suben sobem
bàsquet bàsquet
sentó sentou
intimidad intimidade
dote dote
conjetura conjectura
microondas microondas
surgiendo surgindo
solitarias solitárias
prefería preferia
enfrentando enfrentando
funerarios funerários
investigó investigou
angle angle
aysén aisén
nocaut nocaute
tonalidades tonalidades
poderío poderio
sion sião
sion sion
schum schum
montó montou
alcohólicas alcoólicas
molestia aborrecimento
neerlandesas neerlandesas
françoise françoise
aparezcan apareçam
haut haut
disfrutó gostou
semifinalistas semifinalistas
isabelle isabelle
modas modas
respondieron responderam
saldrá sairá
aprovechado aproveitado
juró jurou
valido valido
hablo falo
empresaria empresária
valla vedação
cumplan cumpram
restablecimiento restabelecimento
caudales caudais
irrelevantes irrelevantes
ladies ladies
summit summit
miracle miracle
azulado azulado
insisto insisto
écija écija
originan originam
practicó praticou
aguardiente aguardente
rebautizado rebaptizado
lis lis
thorell thorell
different different
citó citou
rail rail
honoríficas honoríficas
folclórico folclórico
balear balear
análoga análoga
inflexión viragem
juliette juliette
vom vom
requirió exigiu
requirió requereu
structure structure
formaría formaria
cantharidae cantharidae
nacidas nascidas
iraquíes iraquianos
dominical dominical
amurallado murado
recogiendo recolhendo
dirás dirás
fusiona funde
invito convido
excmo excelentíssimo
decena dezena
pensaron pensaram
ratificó ratificou
llamo chamo
carecer faltar
bibliográfico bibliográfico
haute haute
respeta respeita
motivaciones motivações
liberando libertando
liderando liderando
financiada financiada
genitales genitais
simbología simbologia
podremos poderemos
travel travel
consagra consagra
avril avril
provecho proveito
crecieron cresceram
sketches sketches
conducida conduzida
epidendrum epidendrum
opinar opinar
afiliadas afiliadas
manifestaron manifestaram
estrenos estreias
uba uba
liberan livram
explosiva explosiva
métrico métrico
sumas somas
mitológicos mitológicos
lógicas lógicas
defensora defensora
fúnebre fúnebre
adelantó adiantou
navegó navegou
misionera missionária
thai thai
forces forces
compartidos compartilhados
asignaturas matérias
codigo codigo
engl engl
retrasó atrasou
arregló consertou
comandó comandou
casero caseiro
cerraron fecharam
joaquin joaquin
subconjunto subconjunto
cultivó cultivou
rindieron renderam
induce induz
canberra canberra
frontales frontais
valiosas valiosas
taxonómica taxonómica
rebeldía rebeldia
describía descrevia
alcorcón alcorcón
ouest ouest
metió meteu
conquistaron conquistaram
agregaron adicionaram
carretas carroças
rodeando rodeando
dificulta dificulta
screen screen
père père
acogido acolhido
ruidos barulhos
axilares axilares
policromada policromada
uniría juntaria
reconstruyó reconstruiu
moguer moguer
desconocen desconhecem
teams teams
borró apagou
radares radares
montano montano
bloquea bloqueia
defense defense
escénica cênica
cabal cabal
havre havre
pertenecieron pertenceram
estuve estive
necesitamos precisamos
geológicos geológicos
adjunta anexa
mercantes mercadores
triunfar triunfar
compases compassos
étnicas étnicas
agrado agrado
analógica analógica
jugaban brincavam
fabricaron fabricaram
interamericano interamericano
monaco monaco
salon salon
ahumada fumada
cas cas
diplomado diplomado
duelos duelos
ton ton
listos prontos
problem problem
recurrió recorreu
extinguido extinto
urbanizaciones urbanizações
interrumpió interrompeu
románicas românicas
alumna aluna
receso recesso
transcurrió decorreu
changes changes
submarina subaquática
fusilados fuzilados
dictamen parecer
desórdenes disorders
transport transport
enmarcado emoldurado
reanudó retomou
enterado ciente
descalzos descalços
poetry poetry
piramidal piramidal
extendidas estendidas
neozelandés neozelandês
huso fuso
connection connection
mariscos marisco
dejen deixem
guerre guerre
satírico satírico
navegando navegando
cube cube
escénico cênico
tempranos adiantados
habitaba habitava
priori priori
bélicos bélicos
instauró instaurou
estampa estampa
dejará deixará
pure pure
technologies technologies
galerie galerie
autóctonos autóctones
figuró figurou
vengo venho
peñaranda peñaranda
weekend weekend
vengar vingar
habitaron habitaram
camarero garçom
#el #o
ópticas ópticas
relevos estafetas
male male
señalados assinalados
crestas cristas
fracasos fracassos
alfoz alfoz
caribeña caribenha
galesa galesa
hui fugi
barrocos barrocos
tendremos teremos
danger danger
naturelle naturelle
influyeron influenciaram
filogenia filogenia
culminando culminando
nombrando nomeando
optaron optaram
clasificando classificando
voyager voyager
maillot maillot
sucedía acontecia
revelaron revelaram
depositados depositados
instituyó instituiu
aprovecharon aproveitaram
afectaron afectaram
anchos largos
bloqueó bloqueou
cortando cortando
escribo escrevo
fisión fissão
edificar edificar
acústicas acústicas
monárquicos monárquicos
laico laico
muñecos bonecos
severos severos
sueña sonha
avisa avisa
alcohólica alcoólica
simétrica simétrica
encuadrado enquadrado
agrónomo agrônomo
formidable formidável
experimentando experimentando
adonde aonde
cosechó colheu
perdiz perdiz
cent cent
capitana capitã
suicide suicide
costilla costela
cathedral cathedral
excavado escavado
directivas directivas
directivas diretivas
sueltos soltas
gertrudis gertrudes
corrieron correram
realizara realizasse
assassin assassin
disgusto desgosto
matas matas
olímpicas olímpicas
honorio honorius
suboficiales subalternos
concept concept
poste poste
contactó contactou
focas focas
province province
eau eau
costanera costanera
desencadenó desencadeou
inusuales incomuns
holguín holguín
gendarmería gendarmaria
arriaga arriaga
nazarenos nazarenos
percusiones percussões
negoció negociou
galáctico galáctico
pictórico pictórico
publico publico
sila sila
saque tire
suprimió suprimiu
universos universos
eyed eyed
mixteca mixteca
etienne étienne
asesinas assassinas
constant constant
iran iran
legendarios lendários
almazán almazán
guiadas guiadas
visten vestem
cause cause
apoderó apoderou
reorganizó reorganizou
fuerteventura fuerteventura
internationale internationale
permanecían permaneciam
imparten ministram
effect effect
yugoslava jugoslava
apareamiento acasalamento
indicadas indicadas
implementó implementou
desembarcaron desembarcaram
pinedo pinedo
holandesas holandesas
racimo cacho
escaparon escaparam
contraseña senha
maligno maligno
sigan sigam
farsa farsa
lleven levem
atendido atendido
preciosa lindinha
construction construction
abarcar abranger
monsieur monsieur
neoclasicismo neoclassicismo
huido fugido
impartido ministrado
alistó alistou
arenosos arenosos
hablas falas
floridablanca floridablanca
protocol protocol
technical technical
bautismal batismal
nexo nexo
valeriano valeriano
iniciaba iniciava
vota vota
hídricos hídricos
sarandí sarandí
cierran fecham
#la #a
dotó dotou
perteneciendo pertencendo
matriculó matriculou
ciegas cegas
lleguen cheguem
sujetas sujeitas
eslavo eslavo
mesetas planaltos
thought thought
vis vis
vanguardista vanguardista
mantilla mantilha
alabó elogiou
olvidó esqueceu
relacionar relacionar
olympiacos olympiacos
seleccionó selecionou
reducciones reduções
cubanas cubanas
ancash ancash
ascendieron ascenderam
acumuló acumulou
brassicaceae brassicaceae
culta culta
mosa mosa
adornada adornada
caballito cavalinho
peculiaridad peculiaridade
alejadas afastadas
sumaban somavam
hôtel hôtel
gomera gomera
desempeñando desempenhando
faltar faltar
olavarría olavarría
asistía assistia
lisas lisas
progresos progressos
redujeron reduziram
opéra opéra
pot pot
lores lordes
tvynovelas tvynovelas
rufo rufo
rompieron quebraram
rescue rescue
dôme dôme
sustantivos substantivos
sacan tiram
punch punch
anulación anulação
duradera duradoura
corregida corrigida
cuestiona questiona
chess chess
revisa revê
corzo corzo
comunitarias comunitárias
vous vous
gmina gmina
concepciones concepções
fairy fairy
arrancó rasgou
arrancó arrancou
ocuparía ocuparia
efímero efémero
contrariamente contrariamente
espiga espiga
bruta bruta
pará pará
fracasaron falharam
argumentado argumentado
entendida entendida
deposición deposição
loves loves
disparando atirando
teológico teológico
francois françois
polluelos crias
tónica tónica
prestando prestando
benoît benoît
enfermó adoeceu
imagino imagino
eólica eólica
sultan sultan
character character
vistió vestiu
fusion fusion
penitenciario prisional
eliminaron eliminaram
escuchando ouvindo
escuchando escutando
dejé deixei
empataron empataram
huáscar huáscar
telefilme telefilme
active ative
playoff playoff
cabezón cabeçudo
preparadas preparadas
liébana liébana
coe coe
multiplataforma multiplataforma
asplenium asplenium
centrándose focalizando
camps camps
colorada colorada
dolls dolls
marionetas marionetes
sáhara saara
petite petite
rat rat
lucie lucie
environment environment
venida vinda
magnoliophyta angiosperma
musgos musgos
selecta seleta
cronológica cronológica
styles styles
apta apta
conservadoras conservadoras
restableció restabeleceu
galilea galileia
eligiendo escolhendo
cuida cuida
powiat powiat
hablante falante
grafos grafos
demandó processou
destacaban destacavam
inesperadamente inesperadamente
latinoamericanas latinoamericanas
veremos veremos
viajado viajado
porres porres
cuestionar questionar
incluya inclua
redondas redondas
reportaron relataram
arnau arnau
observatory observatory
cervezas cervejas
curador curador
contenga contenha
preciosos preciosos
deseen desejem
oblongas oblongas
concuerdo concordo
dune dune
reclamando reclamando
endémicos endémicos
congresistas congressistas
clímax clímax
rellenos recheados
contrarias contrárias
jalón jalón
camera camera
agradecería agradeceria
ése aquele
interprete interprete
mile mile
jugarán jogarão
laureado laureado
cansancio cansaço
canoas canoagem
subsiguiente subsequente
sint sint
retiran retiram
wrong wrong
busco procuro
estate estate
adolphe adolphe
hospitalaria hospitalar
saba sabá
insigne insigne
rescatados resgatados
chevalier chevalier
philosophical philosophical
oponen opõem
brave brave
ensamble junte
comprobó comprovou
comprobó verificou
descartado descartado
efectuaron efectuaram
ordenando ordenando
usuaria utilizadora
fotógrafa fotógrafa
ambientado ambientado
consultoría consultoria
nicoya nicoya
shopping shopping
loto lótus
luchado lutado
enmarcada emoldurada
observer observer
depresiones depressões
obligan obrigam
cast cast
trienio triénio
aconsejó aconselhou
moralidad moralidade
teóricas teóricas
entienden entendem
bromus bromus
zoológicos zoológicos
interesadas interessadas
violet violet
aries áries
extremeño estremenho
generalista generalista
solidaria solidária
crecía crescia
vacías vazias
sept sept
arrendamiento locação
necesitar precisar
componiendo compondo
lograda alcançada
manso manso
retratado retratado
curiosos curiosos
extendidos estendidos
conquistados conquistados
determinaron determinaram
dinámicos dinâmicos
sepulcros sepulturas
semifinalista semifinalista
prison prison
mentha mentha
cortesano cortesão
detallados detalhados
burgueses burgueses
atmosférico atmosférico
reapareció reapareceu
morrone morrone
ora ora
estiman estimam
transfirió transferiu
agregada adicionada
ascienden ascendem
fundan fundam
entretanto entretanto
glabros glabros
gorro touca
muse muse
desplazan deslocam
distribuyó distribuiu
sexenio sexênio
amat amat
púlpito púlpito
ltda ltda
course course
garde garde
compartieron compartilharam
abarcó abrangeu
miq miq
duc duc
option option
creyeron acreditaram
negaba recusava
melipilla melipilla
cabellos cabelos
discutió discutiu
grúa guindaste
rioplatense rioplatense
detuvieron pararam
padrastro padrasto
results results
agent agent
imaginaria imaginária
inscribe inscreve
aguada aguada
vieux vieux
juanjo juanjo
algarve algarve
ucm ucm
sentían sentiram
estadista estadista
colectivamente coletivamente
